time_range,route,speed,carsnum
1,正北中街2号,13.41799740008,10
1,华阳大道3段,17.619360404974998,16
1,广都中街237号,17.939914490696427,28
1,天研路,18.210795295431254,16
1,广都上街195号,18.26871251252308,13
1,广都中街239号,18.375547933585707,35
1,雅和南二路,18.459202603052383,21
1,华阳大道2段-218号,19.336457649653337,15
1,雅和南一路,19.40394464506808,12
1,湾河西街,19.633487202372223,9
1,南湖路,20.039817872990195,17
1,美岸路一段,20.041474082365,10
1,利民二街69,20.304159094413333,15
1,广都上街192号,20.410526852480007,25
1,美岸路三段,20.4313791125625,12
1,富民路3段-101,20.49537168354643,14
1,通济桥下街198,21.677714669667736,31
1,正东上街3,22.78002877098889,9
1,华阳大道4段-153号,23.461121863104168,24
1,华阳大道4段-311号,23.606577451865,20
1,海昌路,24.6845964994011,41
1,正东中街241号,24.68631632784444,9
1,正东上街57号,24.70706678013333,9
1,华阳大道2段-230,24.754324003396665,30
1,南湖西路,24.77702150986527,36
1,正东中街65号,24.97243263734,10
1,利民一街92,25.04715745185556,9
1,藕塘新街8,25.9061840293375,8
1,东寺北二路,26.298847528616,25
1,正西街2号,26.518824698905885,34
1,美岸路二段,26.5433465472,24
1,正西街39号,27.04497239493636,22
1,通济桥下街108,27.24340082745937,16
1,府河路1段-89-、88-、85-、83号,27.579725062516665,48
1,广都上街193号,27.84078643552353,17
1,正东下街120号,28.54895876619091,11
1,新程大道,28.67752935560926,50
1,正东上街66号,28.94980054269565,23
1,正东中街69号,28.978672183,11
1,广都中街235号,28.97912151525111,45
1,南湖东路,29.49012928137143,14
1,正西街65号,29.645157309073685,19
1,正西街90号,29.71253001183572,35
1,府河路1段-73-、71号,29.761719342892675,41
1,和顺路一段,29.830631545200006,8
1,张家巷5号,29.96968778217143,14
1,万顺路一段,30.96926572570417,16
1,正东中街80号,31.133525693080003,10
1,华阳大道3段-159号,31.218326540959996,10
1,正东下街1号,31.695079510961538,13
1,府河路一段,31.89200187636024,14
1,华新中街97号,31.965778416238106,21
1,正东上街181号,32.21683244810909,11
1,南湖北路,32.340711691591665,32
1,G108辅路,32.39600052617778,9
1,锦江路2段,32.40919429967533,50
1,广都上街193,32.4760894580625,8
1,锦江路3段,32.672486379657144,28
1,G108(麓山大道一段),32.88723041521704,67
1,绿野路三段,32.90469198506437,16
1,南湖大道,33.07390857916049,54
1,正东中街223号,33.19111482966363,11
1,广宁路,33.208543205999995,14
1,广都中街204,33.23639565145,10
1,二江路1段-419号,33.297700854825,8
1,正兴湾大桥,33.421539405003124,8
1,二江路1段,33.52186935118181,11
1,正西街175号,33.533588320575,8
1,协泰北街,34.73030413175,12
1,府河路1段-54-、56号,34.73896513418571,28
1,老成仁路,34.76121994769091,11
1,牧华路三段辅路,34.80496457020977,29
1,华阳大道4段-303号,34.815193480633965,78
1,东寺街,34.90515574025947,22
1,G213(两江路),35.16992335606589,20
1,正东下街91号,35.1832594653875,16
1,正东上街192号,35.19326345437333,30
1,龙灯山路,35.93941199310999,30
1,黄龙大道,36.044940134574496,28
1,南湖南路,36.124355204416325,20
1,G213(老成仁路),36.29773662157333,30
1,东林寺北巷,36.437265400533335,9
1,梓州大道南一段辅路,36.64913392876024,12
1,二江路二段,37.14578232863824,17
1,富民路4段,37.15308779107647,17
1,定安路,37.240360707785,10
1,G213(天府大道南一段),37.27193919607699,42
1,麓山大道一段,37.73065814446867,15
1,G213(天府大道南段),38.63181755923946,162
1,天府大道南段辅路,39.02143281384309,58
1,华府大道3段,39.27127268323077,13
1,G108(麓山大道二段),39.74510119755021,40
1,正东中街134号,39.96237725609091,11
1,府河路1段-211号,40.19964467980768,13
1,东山大道一段,40.38905321199,10
1,海洋路,41.25777283932676,19
1,G213(牧华立交桥),41.34873590676924,13
1,正东中街99号,41.88437151326999,10
1,梓州大道南一段,42.49533603497095,30
1,正西街292号,43.96133139927272,11
1,武汉路西段辅路,44.015244051906286,11
1,麓山大道1段,44.06163226617816,54
1,华阳绕城路,45.82766173282221,15
1,剑南大道南段辅路,46.6220264463736,65
1,G108(牧华路三段),47.26342570621958,91
1,梓州大道辅路,47.591510884831486,77
1,天府大道南一段辅路,47.83066694252583,16
1,剑南大道南一段,48.04221195702899,20
1,正西街187号,48.15180969567273,11
1,双黄路,49.44314701428749,12
1,府河路二段,49.580173909675,8
1,梓州大道,52.06039268257713,51
1,长顺大道一段,54.34306454592982,22
1,天府大道南段,56.57624379352709,24
1,武汉路西段,56.61817384368008,8
1,G108(牧华路二段),56.65352792134606,22
1,红星路南延线,56.65400565689515,62
1,剑南大道南段,57.06820527874352,65
1,协中路,60.23921275855734,25
1,天府大道南一段,62.10485207454896,16
2,富民路3段,15.543822262289998,10
2,广都中街239号,15.619730402094444,18
2,美岸路一段,17.359683070190474,14
2,正北中街2号,18.659052946844447,9
2,广都上街195号,18.83846480830556,18
2,雅和南一路,21.033204539131543,12
2,华阳大道2段-230,21.698299758341676,24
2,南湖路,21.857375867010607,11
2,南湖东路,21.90292335847778,9
2,华阳大道4段-153号,22.5030530907125,16
2,湾河西街119,22.54133481300625,8
2,雅和南二路,23.0882200869,21
2,海昌路,23.445102335885853,22
2,正东上街153号,23.569004354562495,8
2,富民路2段-52,23.572130610999995,9
2,广都中街237号,23.729309500911107,27
2,华阳大道4段-311号,23.84562458123599,25
2,通济桥下街198,23.87195969119828,29
2,华阳大道2段-218号,24.80361674903333,9
2,南湖西路,25.07562349901125,20
2,新程大道,25.18217042809281,51
2,广都上街193号,25.77670011283636,22
2,华阳大道3段,26.253780050411116,9
2,正东上街66号,26.269376985491665,12
2,天研路,26.27244549822361,12
2,东寺北二路,26.43115077415556,21
2,府河路1段-89-、88-、85-、83号,26.498569238845512,26
2,广都中街235号,27.599244698783927,28
2,富民路3段-101,28.568916451657145,14
2,正西街2号,28.666235736897928,24
2,G213(两江路),28.73121027130329,14
2,广都上街192号,29.105522562610524,19
2,通济桥下街108,29.335867912713336,15
2,正东上街57号,29.370163928311108,9
2,正西街39号,29.993584987054163,12
2,张家巷5号,30.178137728554542,11
2,锦江路2段,30.38386928452525,33
2,正西街65号,30.778140652076477,17
2,锦江路3段,30.88533067095882,34
2,府河路1段-73-、71号,31.0458640480675,20
2,华阳大道4段-303号,31.20487115160584,60
2,万顺路一段,31.35815801174688,16
2,正西街90号,32.120031048928844,26
2,龙灯山路,32.445275789465,20
2,南湖北路,32.477283676712965,39
2,正东中街65号,32.60413342723158,19
2,南湖南路,32.80037623409357,19
2,美岸路二段,33.27912629944062,16
2,二江路1段,33.96393796704545,11
2,正东中街80号,34.00302535462307,13
2,府河路1段-54-、56号,34.136049447009995,10
2,南湖大道,34.18924724329452,41
2,府河路一段,34.32718319099129,9
2,正东上街181号,34.79157268032999,10
2,华阳大道3段-159号,34.79764691182499,12
2,G213(天府大道南段),34.90304165594026,101
2,华新中街97号,34.93393670394211,19
2,正东上街192号,35.23962501348182,11
2,黄龙大道,35.35064469780835,25
2,绿野路三段,35.442895246907256,16
2,富民路4段,35.90510788144584,12
2,东林寺北巷,36.228435572275,8
2,G213(天府大道南一段),36.64278734634643,28
2,G108(麓山大道一段),36.77669349169776,61
2,G213(牧华立交桥),37.139995486577774,9
2,天府大道南段辅路,37.43735933892255,34
2,正东中街223号,37.57871336563333,9
2,麓山大道一段,37.81398305198235,22
2,定安路,38.49171079594444,9
2,华阳绕城路,38.80004264985608,14
2,正西街187号,38.86985434236429,14
2,东寺街,39.0588602204282,13
2,海洋路,40.8736668187311,23
2,府河路1段-211号,41.11821102037499,8
2,G213(老成仁路),41.60892648530713,14
2,牧华路三段辅路,42.81722812264091,22
2,正西街292号,44.75458891405385,13
2,剑南大道南一段,45.21075834980599,26
2,老成仁路,45.42177388145,10
2,正东下街91号,45.76896149635834,12
2,G108(麓山大道二段),46.46203535238013,26
2,梓州大道辅路,46.63834699802163,92
2,梓州大道南一段,46.899934941651786,26
2,G108(牧华路三段),47.30142214068741,78
2,梓州大道南一段辅路,48.19744875237917,8
2,剑南大道南段辅路,48.69765911572151,48
2,麓山大道1段,50.08627617772749,47
2,双黄路,50.78584643828148,9
2,G108(牧华路二段),51.78047843945,13
2,梓州大道,53.99497196880492,51
2,红星路南延线,56.88712772481159,69
2,剑南大道南段,59.8637221861512,50
2,长顺大道一段,59.918369013378125,16
2,天府大道南段,60.05891104855759,22
2,协中路,67.77751787249333,15
3,雅和南一路,19.18931983885527,15
3,广都中街237号,20.747517773114705,17
3,华阳大道4段-153号,21.94246734857091,11
3,东寺北二路,23.123143391557782,15
3,广都上街192号,23.30174606781,10
3,正北中街2号,23.757068109488884,9
3,海昌路,23.995152375770456,22
3,雅和南二路,24.06188802419615,13
3,正西街90号,25.54338754434399,25
3,正西街2号,25.62003983476876,32
3,府河路1段-73-、71号,25.926552017599995,14
3,府河路1段-89-、88-、85-、83号,25.983101152798604,18
3,正西街65号,26.67032204930526,19
3,通济桥下街198,27.164423959217245,29
3,正西街39号,27.16875488984666,15
3,华阳大道4段-311号,27.276193521377277,11
3,华新中街97号,27.72147114725,10
3,协泰北街,27.855922731566668,9
3,南湖西路,28.021503444410783,17
3,南湖东路,28.3938878059375,8
3,美岸路二段,28.503022819681668,10
3,广都中街239号,29.276713887533333,18
3,天研路,29.28470420475208,8
3,华阳大道2段-230,29.477616439704995,20
3,广都中街235号,29.66370710010556,18
3,广都上街193号,29.703205883422225,9
3,G213(两江路),29.83626865970378,12
3,广都上街195号,30.05664939476363,11
3,绿野路三段,30.080947755884896,8
3,华阳大道4段-303号,30.879302703954167,48
3,通济桥下街161,30.91761128369375,8
3,正东上街66号,30.96305252207272,22
3,正东上街3,31.05444945648,10
3,华新中街101号,31.371097543175,8
3,万顺路一段,31.610531007865006,10
3,黄龙大道,31.715665440603924,10
3,通济桥下街108,32.3587239705875,12
3,新程大道,32.361472386256814,33
3,南湖大道,33.23464744107352,34
3,东寺街,33.73349841863417,10
3,南湖北路,33.78632043027963,33
3,G108(麓山大道一段),33.940449417749164,43
3,华阳大道3段-159号,34.10105535139,10
3,G213(天府大道南一段),34.17202940779491,18
3,正东上街192号,34.542201115569995,10
3,锦江路3段,34.69554828458788,33
3,锦江路2段,35.08282872590689,29
3,龙灯山路,35.32628979952353,17
3,二江路二段,35.46378597805417,8
3,正西街60号,36.11921214919,10
3,广宁路,37.08324448482499,8
3,天府大道南一段辅路,37.11666509174722,12
3,府河路1段-54-、56号,37.23860435954444,9
3,牧华路三段辅路,37.479718518905,20
3,G213(天府大道南段),37.76124136010178,85
3,南湖南路,37.78357178066179,8
3,正西街175号,38.19377649662727,11
3,天府大道南段辅路,38.91495542855267,28
3,G213(老成仁路),38.93119862593333,15
3,G108(麓山大道二段),39.64182676488949,23
3,正西街187号,40.48471400360834,12
3,沈阳路东段,41.786343879650005,8
3,麓山大道一段,42.90697172653129,9
3,正东下街91号,43.32264868411999,10
3,梓州大道南一段,43.45935445594253,21
3,海洋路,44.42773280432417,10
3,东山大道一段,45.2664097344051,8
3,G108(牧华路二段),46.197076292615,10
3,剑南大道南段辅路,47.796978247462384,35
3,剑南大道南一段,47.88562452256641,12
3,正西街292号,48.16663650627,10
3,梓州大道辅路,48.18917436786103,45
3,G108(牧华路三段),48.8303504008273,52
3,麓山大道1段,50.28088804461071,29
3,梓州大道,54.64816437103556,30
3,长顺大道一段,55.5170526773077,13
3,红星路南延线,55.60167491207111,36
3,天府大道南段,60.25367218645789,19
3,剑南大道南段,62.11450444072386,30
3,协中路,62.11781311536155,13
3,天府大道南一段,69.49981108592692,13
4,广都中街237号,15.411706253199997,12
4,海昌路,18.45806952761,10
4,雅和南一路,20.704147033764585,8
4,雅和南二路,21.36956714852727,11
4,东寺北二路,23.94277931809292,8
4,南湖西路,25.673876787765625,8
4,通济桥下街198,26.79612667028,15
4,广都中街235号,26.80557312107916,12
4,正西街2号,27.70891181731,10
4,广都上街192号,27.99384846335,8
4,锦江路2段,28.01812021437727,22
4,广都中街239号,30.281993240545457,11
4,万顺路一段,31.151254312725,8
4,南湖北路,31.352160307759707,22
4,龙灯山路,31.443247154409093,11
4,新程大道,31.55178061528125,16
4,华阳大道2段-230,32.45352440723636,11
4,华阳大道4段-303号,32.7720863192525,20
4,天府大道南段辅路,33.01317153169333,15
4,锦江路3段,34.101824452654995,20
4,G108(麓山大道一段),36.24927069925833,15
4,南湖大道,36.67672226805345,29
4,府河路1段-73-、71号,36.75433449541875,16
4,府河路1段-89-、88-、85-、83号,37.42292479774376,20
4,正东上街192号,37.66651546069091,11
4,牧华路三段辅路,37.7516285167908,16
4,海洋路,38.50383659496352,9
4,南湖东路,38.5203378609625,8
4,府河路1段-54-、56号,39.07001247791667,12
4,G213(天府大道南段),42.24804780401888,45
4,梓州大道南一段,42.90893667414792,12
4,绿野路三段,43.02604721234484,12
4,华府大道3段,43.0298607366,9
4,南湖南路,45.20056924185991,8
4,剑南大道南段辅路,48.64944911382863,27
4,G108(牧华路三段),49.37244093476923,33
4,梓州大道辅路,52.71000586612505,39
4,麓山大道1段,53.87860393523333,14
4,G108(牧华路二段),55.034425822932505,8
4,剑南大道南一段,55.3615833126257,12
4,红星路南延线,57.32757300245226,37
4,长顺大道一段,58.123379626085416,12
4,梓州大道,60.43395016128612,18
4,剑南大道南段,61.76052415209276,29
4,协中路,67.30090262911538,13
4,天府大道南段,70.47602115408888,9
5,通济桥下街198,19.909815201890908,11
5,黄龙大道,24.17689110135139,12
5,正西街2号,24.88491007594286,14
5,新程大道,25.780548612696872,8
5,南湖西路,28.092017870918752,8
5,锦江路2段,28.181413247165384,13
5,雅和南一路,28.76126750304917,8
5,府河路1段-89-、88-、85-、83号,30.221317629587503,10
5,正西街90号,31.17298362931817,11
5,G213(天府大道南一段),33.96433995883021,8
5,南湖北路,34.59518291433056,12
5,牧华路三段辅路,36.37643823352462,13
5,广都中街235号,36.48329977213636,11
5,天府大道南段辅路,37.78849672966667,12
5,锦江路3段,38.9096971883,10
5,G213(天府大道南段),39.89440271123447,29
5,南湖大道,40.28893496966061,11
5,G108(麓山大道一段),42.39935688986944,9
5,G108(牧华路三段),46.04292577755786,23
5,红星路南延线,47.29540914868205,13
5,梓州大道辅路,48.96323255381313,16
5,麓山大道1段,51.37999178926666,10
5,剑南大道南段辅路,52.26906680619931,13
5,华阳大道4段-303号,52.87681101373001,15
5,剑南大道南段,59.42724263966797,15
5,梓州大道,59.88847973275,8
6,广都中街239号,21.2064649099875,8
6,正西街2号,23.00675103406,10
6,南湖西路,23.763590183608333,8
6,府河路1段-89-、88-、85-、83号,26.049275833227775,9
6,锦江路3段,28.117201697025,8
6,府河路1段-73-、71号,28.36516738058889,9
6,新程大道,30.599230801722666,10
6,南湖大道,31.54242456534872,13
6,龙灯山路,32.309743608869994,10
6,锦江路2段,34.412093717661115,9
6,南湖北路,34.74972967813518,9
6,G108(麓山大道二段),36.61103948551251,10
6,牧华路三段辅路,36.872538175798894,9
6,G108(麓山大道一段),37.92642207133628,17
6,华阳大道4段-303号,38.430548089575,8
6,G108(牧华路二段),40.69021215820424,11
6,G213(天府大道南一段),42.2171688974176,9
6,G213(天府大道南段),43.84158641379423,26
6,梓州大道南一段,47.09236350439375,8
6,G108(牧华路三段),49.28692271818307,26
6,剑南大道南一段,49.82455267016077,13
6,梓州大道辅路,50.46430531107669,17
6,麓山大道1段,56.67986237922083,12
6,剑南大道南段辅路,57.99619693364371,18
6,梓州大道,59.68679706435557,9
6,长顺大道一段,60.66197099583637,11
6,红星路南延线,61.79171271410973,12
6,剑南大道南段,64.11185139122658,21
6,协中路,76.230844237575,8
7,海昌路,14.075400445475,8
7,天研路,19.38832337633958,12
7,G213(益州大道南二段),20.336362342784472,8
7,通济桥下街198,22.43566282636842,19
7,正西街2号,23.51920101944,10
7,广都上街192号,24.856272686825,12
7,广宁路,25.037349399900005,12
7,府河路1段-89-、88-、85-、83号,25.213107979541665,12
7,正东上街66号,26.701665940825,8
7,顺兴路,27.74788804313889,9
7,G213(两江路),27.94332086389392,9
7,新程大道,28.241332949159727,12
7,广都上街195号,28.85318116596667,9
7,正东中街69号,29.04100581393333,9
7,华阳大道4段-303号,30.5733046016025,20
7,府河路1段-73-、71号,31.0875992441625,8
7,锦江路2段,31.52169185885417,16
7,南湖南路,32.083898273176665,14
7,南湖北路,33.56493679001083,20
7,广都中街235号,35.952214794216665,12
7,正东下街91号,35.9559912558125,8
7,龙灯山路,36.52100207043333,12
7,锦江路3段,37.1009097375125,16
7,万顺路一段,37.41574373540556,9
7,天府大道南段辅路,38.51298819342292,24
7,正东上街192号,38.93439482823333,9
7,牧华路三段辅路,39.51245601381917,21
7,G213(天府大道南一段),39.88212935596314,19
7,南湖大道,39.91909859193857,14
7,G108(麓山大道一段),40.040528064442015,39
7,G108(麓山大道二段),40.051660138843566,22
7,G213(老成仁路),40.37369237711111,9
7,天府大道南一段辅路,41.427642722073685,10
7,G213(天府大道南段),41.56813124302938,59
7,剑南大道南一段,41.88536271739194,28
7,黄龙大道,42.77846374182129,22
7,G108(牧华路三段),44.66467512306209,57
7,梓州大道南一段,45.49353732236392,12
7,剑南大道南段辅路,48.27631632514,34
7,华阳绕城路,50.661231445866456,8
7,正兴湾大桥,50.77330057118888,9
7,双黄路,50.79550655833749,8
7,梓州大道辅路,50.83027305016643,21
7,梓州大道,52.43942134950944,15
7,武汉路西段辅路,54.39970592836944,10
7,G108(牧华路二段),54.47002620999286,14
7,麓山大道1段,54.63965505666015,23
7,长顺大道一段,55.43523629199538,13
7,天府大道南段,59.92439820755001,18
7,剑南大道南段,60.18345061261123,39
7,武汉路西段,60.35276762632094,8
7,红星路南延线,65.34700683303417,20
7,天府大道南一段,66.80845861510757,11
7,协中路,68.34061044785,9
8,美岸路三段,14.204940314638002,15
8,美岸路一段,16.212794979246667,15
8,天明塘街,16.804631377067643,17
8,府河路1段-217号,16.95539461754375,16
8,张家巷5号,17.263530558135297,17
8,广都上街193,17.48391345395,10
8,广东街192,18.151930336204167,8
8,藕塘新街76,18.623864425425,8
8,正东下街120号,18.75203832690833,12
8,通济桥下街108,19.078779777311112,9
8,正西街60号,19.272414961544445,9
8,通济桥下街198,19.306944817824995,37
8,广宁路,19.92950786441682,33
8,华阳大道2段-218号,20.5586937936625,8
8,府河路1段-211号,20.5716013876913,23
8,正西街65号,20.6546150403,13
8,天研路,20.744921481955988,48
8,正东上街66号,20.75305870422857,14
8,广都上街195号,21.273105219884616,13
8,府河路1段-54-、56号,21.37628028095,14
8,正东中街241号,21.390368530480004,10
8,通济桥下街161,21.458905854578568,14
8,正东上街153号,21.4896713658,8
8,雅和南一路,21.695764803406007,13
8,正东中街65号,21.76373701383333,12
8,广都上街192号,21.93731293069091,22
8,正西街2号,21.950317836143995,25
8,华阳大道2段-230,22.27608753234849,33
8,正西街90号,22.519438673332605,23
8,南湖路,22.54191656233981,18
8,府河路二段,22.650760505599997,16
8,府河路1段-89-、88-、85-、83号,22.804226205272798,50
8,广东街153,22.921639397672223,9
8,府河路3段,23.026046821750644,26
8,正北中街2号,23.05317667837273,11
8,美岸路二段,23.184188369217043,22
8,二江路二段,23.35584371298,10
8,府河路一段,23.46583042393304,23
8,府河路1段-73-、71号,23.92022949536562,32
8,雅和南二路,23.96282635286579,19
8,广都上街193号,24.101569641984614,13
8,海昌路,24.24396706903086,27
8,正东下街1号,24.351106926445457,11
8,正东上街57号,24.79808212020769,13
8,正东中街69号,24.84155497478889,9
8,祥鹤二街,25.21813770738333,11
8,广都中街239号,25.39945216817647,17
8,华阳大道3段,25.426850645599995,11
8,东寺北二路,25.45113003092188,8
8,和顺路一段,25.77213930744,11
8,正东上街3,25.822653961045457,11
8,南湖西路,26.01087349174024,41
8,正东中街80号,26.23439106039,10
8,黄龙大道2段,26.25789799530385,13
8,府河路1段,26.50355985560833,12
8,正西街187号,26.709166942769237,13
8,锦江路2段,26.779799305515624,64
8,瑞祥路,26.894607970876088,23
8,通济桥下街,26.90615282455729,8
8,广都中街237号,26.973322795057147,21
8,富民路3段-101,27.406997553918185,11
8,正东中街223号,27.45510334557857,14
8,正西街39号,27.56976329517778,9
8,华阳大道4段-311号,27.59198368890625,16
8,锦江路3段,27.956687298570586,34
8,华新中街97号,28.001299554775,8
8,华阳大道4段-153号,28.01306063376364,11
8,广东街,28.089665394738333,12
8,剑和路一段,28.14798195259,15
8,正东中街109号,28.351804251375,8
8,新程大道,28.45822644838888,34
8,顺兴路,28.778727898181817,11
8,广都中街235号,29.039375304187494,16
8,南湖大道,29.17897986920668,75
8,二江路1段-307号,29.214291574555556,9
8,正东中街229号,29.4229799919625,8
8,G213(益州大道南二段),29.78144549581212,18
8,华阳大道3段-159号,29.834152709420003,10
8,南湖北路,30.819155501717024,46
8,万顺路一段,31.53404879812188,16
8,南湖南路,31.81819300881693,44
8,正东上街192号,31.86111958278333,18
8,府河路2段,32.05365140086,15
8,龙灯山路,32.076357173544,25
8,绿野路三段,32.18792056226133,21
8,正东上街181号,32.34655332117273,11
8,协泰北街,32.51436772451667,12
8,G213(牧华立交桥),32.527685585571426,14
8,二江路1段,32.6453151685,12
8,G108辅路,32.811479322649994,12
8,正东中街99号,32.963647378975,8
8,华阳大道4段-303号,33.01324126348627,51
8,黄龙大道,33.548845834587304,63
8,老成仁路,33.909315237865385,26
8,东山大道一段,34.17342629309791,16
8,G213(益州大道南一段),34.27935379223875,10
8,正东下街91号,34.335001731131825,22
8,麓山大道一段,34.35290299020514,12
8,天府大道南段辅路,34.59196754018733,66
8,绿野路一段,34.625856310874994,8
8,G108(麓山大道一段),35.13798714325246,127
8,沈阳路西段,35.424236810036184,21
8,G213(天府大道南段),35.56026030449444,152
8,G213(两江路),36.141764008616406,30
8,海洋路,36.34783715411759,27
8,G108(麓山大道二段),36.49325182896317,76
8,G213(老成仁路),36.60478695451842,38
8,牧华路三段辅路,37.04786425665981,62
8,沈阳路东段,37.34283909944107,19
8,正西街175号,37.381461008318176,11
8,G213(天府大道南一段),37.57269531681735,63
8,藕塘新街21,37.76421292716666,9
8,富民路4段,38.2159581117,9
8,华阳绕城路,38.70434703847661,37
8,空港四路,39.41146235194999,13
8,钟灵路,39.95207991765,10
8,天府大道南一段辅路,39.97045528731254,43
8,G213(沈阳路西段),41.323194695805554,9
8,正东中街134号,41.43486315691111,9
8,荷韵路,41.78996973758333,9
8,正东下街149号,41.87873424222501,8
8,正西街225号,42.8838280551,9
8,G108(牧华路三段),43.530699263051176,199
8,Y008,43.76728433465913,12
8,梓州大道辅路,43.83387938919108,91
8,通济桥街10,43.91824119421111,9
8,万东路,44.785513996118745,8
8,双兴大道,44.88877219531502,23
8,华府大道3段,46.22663879665555,18
8,麓山大道1段,46.53848800170672,106
8,剑南大道南段辅路,46.61030040482506,99
8,长顺大道一段,47.68866670959852,39
8,梓州大道,48.1018040288893,67
8,武汉路西段辅路,48.334400824296246,22
8,G108(牧华路二段),49.07039830810854,43
8,剑南大道南一段,49.31659863984519,77
8,定安路,49.967081585303575,14
8,双黄路,50.46421264965929,26
8,绿野路二段,50.55456962026668,9
8,梓州大道南一段,51.50167697985589,65
8,正兴湾大桥,51.828694508933935,14
8,天府大道南段,52.95907204811007,48
8,G213(成仁路),53.155581302261695,8
8,梓州大道南一段辅路,54.18825626731217,28
8,华府大道四段,56.64976249190792,10
8,红星路南延线,56.86959519238709,71
8,正公路,57.49121678374668,31
8,武汉路西段,58.02141358109384,18
8,正公路辅路,58.31138930252512,19
8,剑南大道南段,58.85819231186122,121
8,黄龙大道一段,59.53347092970937,16
8,剑南大道南一段辅路,59.797287422404,24
8,天府大道南一段,60.92111773346421,34
8,天府大道南二段,63.63928749361796,13
8,黄龙大道1段,66.44500889781334,15
8,X062(剑南大道南段),68.7904795047,9
8,协中路,70.75253482671071,28
9,正北中街33号,6.729516197525,12
9,府河路1段-95号,8.652224727593333,15
9,正北中街37号,8.902064727675,8
9,通济巷7号,9.30850481949091,11
9,正北中街31号,9.4017039518,8
9,正北中街35号,9.76107546876,10
9,正北上街82号-附1号,10.091842598375,8
9,华阳大道4段-200,11.96299234274,10
9,正北上街95,12.035155849584616,13
9,美岸路一段,12.318187403942122,26
9,中兴上街239号,12.511347490325,8
9,藕塘新街76,12.704422770872728,11
9,华阳大道2段-218号,12.925238161376472,34
9,南湖路102,13.07813370101852,9
9,张家巷5号,13.34721605437586,29
9,正北中街2号,13.7034872361,31
9,正东下街120号,13.7731601065,13
9,府河路1段-54-、56号,14.090157718055552,36
9,广东街153,14.317664647075,8
9,正西街282号,14.919400344799998,12
9,广东街192,15.2085476244125,8
9,正西街60号,15.24895872499655,29
9,正东上街166号,15.3025654541,11
9,广都上街195号,15.3290789390697,33
9,正北中街68号,15.348410096527273,11
9,雅和街,15.559489668737498,8
9,广宁路,15.606230767373289,63
9,正东上街57号,15.70593023201956,46
9,协和上街275,15.717840976987503,8
9,正东上街66号,15.782517982554166,24
9,丁字街28号,16.09646837020625,16
9,湾河街,16.12271289181,10
9,正东上街153号,16.224946005929265,41
9,正东上街170号,16.67246135319091,11
9,水津街110,16.73968384308214,14
9,祥鹤一街,16.79276550635111,15
9,美岸路三段,16.85067541120128,39
9,正东中街65号,16.957204972348148,27
9,府河路二段,17.06626558118684,38
9,华新中街97号,17.261232848707692,13
9,广都上街193,17.382631367075,16
9,丁字街18号,17.399563161681815,11
9,华阳大道2段-230,17.422215479921537,65
9,协和上街127,17.508557224125,8
9,正西街2号,17.641397354250884,57
9,正西街68号,17.641473540891667,12
9,府河路3段,17.750740287892558,61
9,正东上街3,17.786221723267438,43
9,华阳大道3段,17.989541228661842,38
9,南湖路,18.02596064982403,43
9,通济桥下街108,18.107838497436365,33
9,广都上街192号,18.1568631950138,58
9,东寺北二路,18.23554823924276,29
9,正西街65号,18.383308822191665,24
9,通济桥下街198,18.43283980211672,125
9,正西街42号,18.54940490378461,13
9,通济桥下街161,18.85088757575676,37
9,正西街90号,18.912282330727592,58
9,广都中街239号,19.20972208985981,34
9,丁字街67,19.22721158675,14
9,广都中街237号,19.232210113345005,40
9,天研路,19.235286043727825,102
9,海昌路,20.04822597908162,68
9,府河路1段-73-、71号,20.10875906925781,64
9,正西街39号,20.265420866200003,20
9,正北上街80号,20.34190478893,10
9,正西街49号,20.64481958095,10
9,藕塘新街21,20.69487206505625,8
9,正西街61号,20.70117591778,10
9,府河路1段-217号,20.803897838918918,37
9,政府街41,20.908677492408334,12
9,天明塘街,20.94335639007083,24
9,正东中街99号,20.995737594900003,11
9,水韵路,21.0747909831566,12
9,正西街187号,21.12545604686342,41
9,华阳大道3段-159号,21.515203888016668,18
9,广都上街49号,21.57583131874285,14
9,正东中街69号,21.8598107288697,33
9,杭州路西段,21.8848071214375,8
9,正东上街181号,21.904785848686107,36
9,湾河西街,21.974601075275,8
9,南湖西路,21.990925213744564,53
9,丽都街75号,22.3748097232625,8
9,正东上街157号,22.41634304701111,9
9,正东上街192号,22.430150803050005,40
9,府河路1段-89-、88-、85-、83号,22.45252680535446,118
9,华阳大道4段-311号,22.66207651226286,35
9,新程大道,22.847425086059637,71
9,梓林巷,23.024964307645835,12
9,府河路1段-211号,23.03270894872157,51
9,香沙路,23.149325562401,10
9,二江路1段-167,23.50182542604375,8
9,悦和一街,23.523436831585,10
9,锦江路2段,23.545915204282576,132
9,府河路一段,23.581228566603222,54
9,华阳大道3段-191号,23.7955520137,10
9,通济桥下街,23.811865794742424,11
9,正东中街80号,23.812830958479307,29
9,和顺路一段,24.23182877982898,23
9,雅和南一路,24.251086785418497,31
9,二江路二段,24.439450070435715,14
9,祥鹤四街,24.53327692689667,15
9,正北中街60号,24.5660609075875,8
9,正东中街241号,24.572571008769994,10
9,雅和南二路,24.59057945894691,42
9,华阳大道4段-153号,24.836694463013337,20
9,荷韵南路,24.89920613966003,14
